pid,n_scs_total,n_scs_strong,n_branches,S,K,merger_richness,C_fourier,n_sign_changes,phase
182,115,7,4,1.3464545391861615,2.0464545391861617,2,0.4946125195071214,3,StrongMerger
183,81,5,2,0.6926588198060253,1.1926588198060253,2,1.8942876070199666,1,StrongMerger
184,145,6,1,0.0,0.6000000000000001,0,2.63625318835394,0,Fragmented
185,71,4,2,0.48257756517701206,0.882577565177012,2,10.352989834373574,1,StrongMerger
186,31,0,3,0.8412215843100143,0.8412215843100143,0,2.159707601205919,2,Trivial
187,0,0,1,0.0,0.0,0,2.179575982061592,0,Trivial
188,0,0,1,0.0,0.0,0,0.9844730631721262,0,Trivial
189,0,0,4,1.1981291773292155,1.1981291773292155,0,0.23198985561242136,3,Trivial
190,42,1,4,1.2854088133303356,1.3854088133303357,1,0.19584114390305501,3,WeakMerger
191,226,9,2,0.18920898053816695,1.089208980538167,2,3.5904750931338256,1,StrongMerger
192,120,5,3,0.8305236914828464,1.3305236914828464,2,1.0853219228126532,2,StrongMerger
193,11,1,4,1.3199111438709499,1.41991114387095,2,0.7801981679164927,3,StrongMerger
194,0,0,2,0.48257756517701206,0.48257756517701206,0,5.710112163778324,1,Trivial
195,0,0,2,0.5623351446188083,0.5623351446188083,0,4.650949519581749,1,Trivial
196,48,4,3,1.0291687240043512,1.4291687240043514,2,0.5302117803827919,2,StrongMerger
197,141,2,1,0.0,0.2,0,2.268424341624987,0,Fragmented
198,133,8,3,1.0861979723945263,1.8861979723945264,2,1.307429553252374,2,StrongMerger
199,0,0,4,1.1737116660826632,1.1737116660826632,0,0.39510442586583616,3,Trivial
200,66,5,5,1.3149578072719605,1.8149578072719605,2,0.4261599094573993,4,StrongMerger
201,97,4,3,1.0387435715615458,1.4387435715615458,2,1.2210032144706304,2,StrongMerger
202,152,3,1,0.0,0.30000000000000004,0,2.5854449163255397,0,Fragmented
203,0,0,4,1.3203626194737796,1.3203626194737796,0,0.31187192514060597,3,Trivial
204,0,0,2,0.2337916587064593,0.2337916587064593,0,10.976674785372852,1,Trivial
205,13,1,6,1.4141727194378382,1.5141727194378383,2,0.1644514334358208,5,StrongMerger
206,0,0,1,0.0,0.0,0,2.845907878849249,0,Trivial
207,108,4,1,0.0,0.4,0,1.5219663941273254,0,Fragmented
208,161,4,2,0.6887461892700277,1.0887461892700276,2,4.447694724151352,1,StrongMerger
209,40,2,2,0.5788586438389152,0.7788586438389151,2,3.4223617907391914,1,StrongMerger
210,23,7,2,0.5445089017353929,1.244508901735393,2,0.9949360211733792,1,StrongMerger
211,0,0,1,0.0,0.0,0,2.3509761880596676,0,Trivial
212,0,0,2,0.18920898053816695,0.18920898053816695,0,3.0311490318167404,1,Trivial
213,0,0,3,0.4956062260290694,0.4956062260290694,0,0.6507968669313303,2,Trivial
214,34,1,5,1.503126823112485,1.603126823112485,2,0.4144268128682816,4,StrongMerger
215,0,0,1,0.0,0.0,0,3.1955956282777653,0,Trivial
216,13,1,2,0.5941300227248385,0.6941300227248385,2,2.2181026718316903,1,StrongMerger
217,0,0,3,0.7626775797873158,0.7626775797873158,0,0.9761202912256169,2,Trivial
218,0,0,2,0.6690268361602776,0.6690268361602776,0,1.1660807037097654,1,Trivial
219,282,5,2,0.18920898053816695,0.6892089805381669,2,6.085917336753162,1,StrongMerger
220,10,1,5,1.4038134067803287,1.5038134067803288,2,2.842193466810947,4,StrongMerger
221,3,0,2,0.48257756517701206,0.48257756517701206,0,0.7865563651547312,1,Trivial
222,1,0,1,0.0,0.0,0,3.178505861264188,0,Trivial
223,0,0,3,1.073763865055576,1.073763865055576,0,0.7289259401168948,2,Trivial
224,79,1,3,1.0433534269422906,1.1433534269422907,2,0.9525526433467044,2,StrongMerger
225,160,6,2,0.5047041940481001,1.1047041940481002,2,2.8969677491376924,1,StrongMerger
226,19,2,3,1.0025590554959805,1.2025590554959804,2,1.1541157267500184,2,StrongMerger
227,0,0,2,0.2337916587064593,0.2337916587064593,0,1.1648217716148312,1,Trivial
228,53,9,3,0.829150039504599,1.729150039504599,2,2.2387699523864644,2,StrongMerger
229,172,7,1,0.0,0.7000000000000001,0,2.3784249047643087,0,Fragmented
230,0,0,1,0.0,0.0,0,4.3135139978484,0,Trivial
231,163,8,1,0.0,0.8,0,7.667986873673181,0,Fragmented
232,0,0,3,0.8644965328548823,0.8644965328548823,0,3.376161031490622,2,Trivial
233,11,5,2,0.40609642111261135,0.9060964211126113,2,2.054942792037047,1,StrongMerger
234,0,0,2,0.13906079845474112,0.13906079845474112,0,2.7999450334151406,1,Trivial
235,16,2,3,0.538556946260942,0.738556946260942,2,0.9734315553750054,2,StrongMerger
236,51,2,3,0.7616850993243827,0.9616850993243826,2,2.4404471515255475,2,StrongMerger
237,75,3,3,0.8487117579658698,1.1487117579658699,2,0.5594169784163903,2,StrongMerger
238,0,0,1,0.0,0.0,0,3.659268398493403,0,Trivial
239,0,0,3,0.8830379848613945,0.8830379848613945,0,0.31238529891027345,2,Trivial
240,51,4,2,0.4333988732907457,0.8333988732907458,2,3.113034060245515,1,StrongMerger
241,0,0,1,0.0,0.0,0,3.440661916802393,0,Trivial
242,88,2,5,1.5755858178961444,1.7755858178961443,2,0.7024171869656588,4,StrongMerger
243,209,10,2,0.40609642111261135,1.4060964211126112,2,3.1219636271771165,1,StrongMerger
244,0,0,2,0.08048483706800685,0.08048483706800685,0,11.87152990096799,1,Trivial
245,77,2,3,1.0433534269422904,1.2433534269422903,2,0.22949917440014886,2,StrongMerger
246,102,5,7,1.940151408583456,2.440151408583456,2,0.5965313108880885,6,StrongMerger
247,0,0,1,0.0,0.0,0,8.114590785655574,0,Trivial
248,0,0,3,1.0315319910566592,1.0315319910566592,0,2.155987006927752,2,Trivial
249,98,2,1,0.0,0.2,0,1.4383306211517364,0,Fragmented
250,72,2,3,0.9827157898414949,1.1827157898414948,2,0.6799674906273814,2,StrongMerger
251,0,0,2,0.6530577442776866,0.6530577442776866,0,2.8762463835428513,1,Trivial
252,174,3,3,0.8207506161412745,1.1207506161412746,2,2.0961581497034443,2,StrongMerger
253,0,0,3,1.0281499255352422,1.0281499255352422,0,1.1752704361888797,2,Trivial
254,135,4,3,1.056799444665715,1.456799444665715,2,1.298041653040215,2,StrongMerger
255,9,1,3,0.6207830592954231,0.7207830592954231,2,5.746596081052148,2,StrongMerger
